姓名,國文,英文,數學,地理,歷史
陳志偉,73,79,82,69,56
鍾俞禎,52,97,67,99,56
朱彥志,68,67,69,82,73
鞠冠宇,74,100,83,69,52
周芷蓁,93,77,99,52,81
陳信念,63,97,63,91,77
陳怡容,62,53,74,92,79
葉軍仰,97,83,64,60,92
楊少亮,89,97,75,67,82
林佳光,93,89,100,60,78
張明惟,96,68,63,99,88
黃奎紹,57,76,85,90,72
孫宜珊,100,56,86,51,82
游淑惠,70,81,56,68,63
盧冠發,52,65,93,89,54
林珍旺,85,97,83,73,72
朱惠儀,88,74,88,83,58
吳柏誠,50,57,62,100,64
吳淑惠,65,100,51,96,90
鄭憲定,96,65,54,64,55
陳筱涵,52,78,56,99,62
張凡成,65,92,73,91,85
唐雪豪,98,58,61,90,65
溫法堯,94,100,69,75,74
郎慧萍,50,88,93,63,61
黃詩妃,67,88,56,78,93
陳凱翔,52,83,98,86,72
唐翊修,54,59,87,78,83
方筠紹,90,61,95,96,63
林怡偉,81,96,99,60,67
賴佳雯,83,91,58,84,69
李美洋,52,83,52,81,52
蔡欣汝,80,71,68,96,61
彭虹屏,99,90,98,61,82
陳慧君,87,62,71,86,75
劉耿琦,82,96,67,90,96
陳冠竹,55,87,63,52,72
李湘婷,65,79,67,79,82
林冠蕙,87,66,75,67,79
黃心航,98,86,89,65,78
謝佳穎,65,98,72,94,84
黃江旭,86,50,54,62,80
梁柏宇,83,73,77,88,54
許淑婷,87,92,61,91,65
王士銘,55,78,57,96,73
劉嘉泰,68,74,88,76,93
謝佳穎,56,73,97,89,98
賴昌韻,60,59,74,55,64
高智超,77,55,56,69,72
賴佳雯,63,82,97,58,75
